day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2020-01-29,493788,29.0,0.0,0.0,11.0,21.0,1.0,1.0,9.0,5.872965726182086e-05,0.0,0.0,2.2276766547587224e-05,4.252837249993924e-05,2.025160595235202e-06,2.025160595235202e-06,1.822644535711682e-05
2020-01-30,482148,27.0,0.0,0.0,9.0,11.0,1.0,0.0,13.0,5.599940267303815e-05,0.0,0.0,1.8666467557679386e-05,2.2814571459385914e-05,2.074051950853265e-06,0.0,2.6962675361092446e-05
2020-01-31,505171,34.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,6.730394262536844e-05,0.0,0.0,1.7815749518479882e-05,3.365197131268422e-05,0.0,0.0,0.0
2020-02-01,467633,17.0,0.0,0.0,7.0,11.0,0.0,0.0,10.0,3.635329414305663e-05,0.0,0.0,1.4969003470670376e-05,2.3522719739624876e-05,0.0,0.0,2.138429067238625e-05
2020-02-02,460913,15.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,3.2544102683152785e-05,0.0,0.0,6.508820536630557e-06,2.1696068455435192e-05,0.0,0.0,6.508820536630557e-06
2020-02-03,496840,19.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,3.8241687464777395e-05,0.0,0.0,1.6101763143064164e-05,1.2076322357298125e-05,0.0,0.0,4.025440785766041e-06
2020-02-04,479400,26.0,0.0,0.0,9.0,10.0,0.0,0.0,5.0,5.4234459741343346e-05,0.0,0.0,1.8773466833541928e-05,2.0859407592824365e-05,0.0,0.0,1.0429703796412182e-05
2020-02-05,532016,16.0,0.0,0.0,4.0,9.0,0.0,0.0,4.0,3.0074283480196084e-05,0.0,0.0,7.518570870049021e-06,1.69167844576103e-05,0.0,0.0,7.518570870049021e-06
2020-02-06,495886,27.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,5.444799812860214e-05,0.0,0.0,6.049777569844682e-06,1.2099555139689364e-05,0.0,0.0,6.049777569844682e-06
2020-02-07,468801,17.0,0.0,0.0,6.0,11.0,0.0,1.0,1.0,3.626272128259112e-05,0.0,0.0,1.2798607511502748e-05,2.3464113771088373e-05,0.0,2.133101251917125e-06,2.133101251917125e-06
2020-02-08,459376,24.0,0.0,0.0,3.0,11.0,0.0,0.0,2.0,5.224478422904113e-05,0.0,0.0,6.5305980286301415e-06,2.3945526104977185e-05,0.0,0.0,4.353732019086761e-06
2020-02-09,460214,16.0,0.0,0.0,7.0,8.0,0.0,0.0,3.0,3.4766434745574886e-05,0.0,0.0,1.5210315201189012e-05,1.7383217372787443e-05,0.0,0.0,6.518706514795291e-06
2020-02-10,479357,22.0,0.0,0.0,10.0,14.0,0.0,1.0,5.0,4.589481326026323e-05,0.0,0.0,2.0861278754665105e-05,2.9205790256531145e-05,0.0,2.0861278754665104e-06,1.0430639377332552e-05
2020-02-11,481097,23.0,0.0,0.0,8.0,6.0,1.0,0.0,1.0,4.780740682232481e-05,0.0,0.0,1.662866324254776e-05,1.247149743191082e-05,2.07858290531847e-06,0.0,2.07858290531847e-06
2020-02-12,497709,21.0,0.0,0.0,11.0,11.0,1.0,0.0,2.0,4.219332983731457e-05,0.0,0.0,2.210126801002192e-05,2.210126801002192e-05,2.0092061827292657e-06,0.0,4.018412365458531e-06
2020-02-13,482760,15.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,3.107133979617201e-05,0.0,0.0,1.2428535918468805e-05,1.035711326539067e-05,0.0,0.0,6.214267959234402e-06
2020-02-14,486510,20.0,0.0,0.0,5.0,17.0,0.0,0.0,1.0,4.1109124170109554e-05,0.0,0.0,1.0277281042527388e-05,3.494275554459312e-05,0.0,0.0,2.055456208505478e-06
2020-02-15,423276,14.0,0.0,0.0,5.0,12.0,1.0,1.0,0.0,3.307534563736191e-05,0.0,0.0,1.1812623441914968e-05,2.8350296260595925e-05,2.3625246883829936e-06,2.3625246883829936e-06,0.0
2020-02-16,444433,11.0,0.0,0.0,5.0,15.0,0.0,2.0,2.0,2.475063732891122e-05,0.0,0.0,1.1250289694959645e-05,3.375086908487893e-05,0.0,4.500115877983858e-06,4.500115877983858e-06
2020-02-17,462510,16.0,0.0,0.0,7.0,17.0,1.0,1.0,3.0,3.459384661953255e-05,0.0,0.0,1.5134807896045491e-05,3.6755962033253336e-05,2.1621154137207843e-06,2.1621154137207843e-06,6.486346241162353e-06
2020-02-18,477098,18.0,0.0,0.0,10.0,10.0,0.0,2.0,3.0,3.7728097791229475e-05,0.0,0.0,2.096005432846082e-05,2.096005432846082e-05,0.0,4.192010865692164e-06,6.288016298538246e-06
2020-02-19,480328,17.0,0.0,0.0,3.0,13.0,0.0,0.0,2.0,3.539248180410053e-05,0.0,0.0,6.245732083076564e-06,2.706483902666511e-05,0.0,0.0,4.1638213887177096e-06
2020-02-20,498781,20.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,4.009775833482029e-05,0.0,0.0,6.0146637502230435e-06,2.4058655000892174e-05,0.0,0.0,2.0048879167410148e-06
2020-02-21,497715,17.0,0.0,0.0,6.0,16.0,0.0,0.0,3.0,3.415609334659393e-05,0.0,0.0,1.2055091769386094e-05,3.2146911385029586e-05,0.0,0.0,6.027545884693047e-06
2020-02-22,448633,19.0,0.0,0.0,9.0,10.0,0.0,0.0,2.0,4.2350874768463306e-05,0.0,0.0,2.006094067979841e-05,2.22899340886649e-05,0.0,0.0,4.45798681773298e-06
2020-02-23,463036,28.0,0.0,0.0,8.0,13.0,2.0,0.0,0.0,6.047046018020197e-05,0.0,0.0,1.7277274337200564e-05,2.8075570797950916e-05,4.319318584300141e-06,0.0,0.0
2020-02-24,467845,25.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,5.3436501405379986e-05,0.0,0.0,6.412380168645598e-06,2.1374600562151996e-05,0.0,0.0,2.1374600562151995e-06
2020-02-25,482956,19.0,0.0,0.0,9.0,14.0,0.0,0.0,4.0,3.934105798457831e-05,0.0,0.0,1.8635237992694986e-05,2.8988147988636646e-05,0.0,0.0,8.282327996753328e-06
2020-02-26,489925,13.0,0.0,0.0,16.0,10.0,0.0,0.0,4.0,2.653467367454202e-05,0.0,0.0,3.265805990712864e-05,2.0411287441955402e-05,0.0,0.0,8.16451497678216e-06
2020-02-27,488634,28.0,0.0,0.0,4.0,8.0,0.0,0.0,3.0,5.73026027660785e-05,0.0,0.0,8.186086109439785e-06,1.637217221887957e-05,0.0,0.0,6.139564582079839e-06
2020-02-28,475772,14.0,0.0,0.0,10.0,13.0,1.0,0.0,5.0,2.942585944528051e-05,0.0,0.0,2.1018471032343224e-05,2.732401234204619e-05,2.101847103234322e-06,0.0,1.0509235516171612e-05
2020-02-29,447968,24.0,0.0,0.0,9.0,9.0,1.0,1.0,2.0,5.3575255375383954e-05,0.0,0.0,2.0090720765768984e-05,2.0090720765768984e-05,2.232302307307665e-06,2.232302307307665e-06,4.46460461461533e-06
2020-03-01,457693,14.0,0.0,0.0,7.0,12.0,0.0,0.0,5.0,3.05881890262687e-05,0.0,0.0,1.529409451313435e-05,2.621844773680174e-05,0.0,0.0,1.0924353223667393e-05
2020-03-02,465343,13.0,0.0,0.0,8.0,13.0,0.0,0.0,1.0,2.7936382410394053e-05,0.0,0.0,1.719161994485788e-05,2.7936382410394053e-05,0.0,0.0,2.148952493107235e-06
2020-03-03,470771,20.0,0.0,0.0,7.0,9.0,0.0,0.0,7.0,4.2483500470504767e-05,0.0,0.0,1.486922516467667e-05,1.9117575211727147e-05,0.0,0.0,1.486922516467667e-05
2020-03-04,502874,13.0,0.0,0.0,8.0,20.0,0.0,0.0,3.0,2.5851406117635828e-05,0.0,0.0,1.5908557610852817e-05,3.9771394027132045e-05,0.0,0.0,5.965709104069807e-06
2020-03-05,484249,15.0,0.0,0.0,7.0,13.0,0.0,0.0,2.0,3.097579964026771e-05,0.0,0.0,1.4455373165458266e-05,2.684569302156535e-05,0.0,0.0,4.130106618702362e-06
2020-03-06,480525,19.0,0.0,0.0,3.0,11.0,0.0,0.0,2.0,3.9540086363872845e-05,0.0,0.0,6.243171531137818e-06,2.2891628947505332e-05,0.0,0.0,4.162114354091879e-06
2020-03-07,446892,17.0,0.0,0.0,6.0,8.0,0.0,0.0,1.0,3.8040510906438244e-05,0.0,0.0,1.3426062672860557e-05,1.790141689714741e-05,0.0,0.0,2.237677112143426e-06
2020-03-08,467209,17.0,0.0,0.0,9.0,13.0,0.0,2.0,2.0,3.6386285366934286e-05,0.0,0.0,1.9263327547200502e-05,2.7824806457067392e-05,0.0,4.280739454933445e-06,4.280739454933445e-06
2020-03-09,466979,16.0,0.0,0.0,7.0,25.0,0.0,0.0,4.0,3.426278269472503e-05,0.0,0.0,1.4989967428942201e-05,5.353559796050786e-05,0.0,0.0,8.565695673681257e-06
2020-03-10,485412,20.0,0.0,0.0,7.0,14.0,0.0,1.0,3.0,4.1202112844346656e-05,0.0,0.0,1.442073949552133e-05,2.884147899104266e-05,0.0,2.060105642217333e-06,6.180316926651999e-06
2020-03-11,510295,13.0,0.0,0.0,5.0,7.0,1.0,0.0,1.0,2.5475460272979357e-05,0.0,0.0,9.798253951145906e-06,1.3717555531604269e-05,1.9596507902291813e-06,0.0,1.9596507902291813e-06
2020-03-12,555909,37.0,0.0,0.0,12.0,21.0,0.0,0.0,4.0,6.655765601924056e-05,0.0,0.0,2.1586266817050994e-05,3.777596692983923e-05,0.0,0.0,7.19542227235033e-06
2020-03-13,537523,28.0,0.0,0.0,12.0,13.0,1.0,0.0,8.0,5.2090794254385397e-05,0.0,0.0,2.2324626109022313e-05,2.4185011618107504e-05,1.8603855090851927e-06,0.0,1.4883084072681542e-05
2020-03-14,487264,17.0,0.0,0.0,11.0,18.0,0.0,0.0,6.0,3.488868457345505e-05,0.0,0.0,2.257503119458856e-05,3.694096013659946e-05,0.0,0.0,1.2313653378866487e-05
